date,dji
2022-01-04,1000000.0
2022-01-05,989333.0757448218
2022-01-06,984696.0579404313
2022-01-07,984565.3883836782
2022-01-10,980141.7302942135
2022-01-11,985118.6375549189
2022-01-12,986159.4295971324
2022-01-13,981357.7745201795
2022-01-14,975873.6868027993
2022-01-17,961108.8760825882
2022-01-18,951874.540241659
2022-01-19,943362.0183616733
2022-01-20,931133.1099248357
2022-01-21,933826.8559376098
2022-01-24,932012.4491678441
2022-01-25,928489.5724419921
2022-01-27,928290.9674536209
2022-01-28,943635.8830703843
2022-01-31,954679.2120763722
2022-02-01,962108.0576729355
2022-02-02,968197.513775501
2022-02-03,954116.7279323958
2022-02-04,953534.6062027173
2022-02-07,953572.3952865548
2022-02-08,963671.7402403853
2022-02-09,971967.3994847522
2022-02-10,957661.0467788521
2022-02-11,943978.0016580492
2022-02-14,939307.1222869613
2022-02-15,950792.774642251
2022-02-16,949309.8715489598
2022-02-17,932401.0610665225
2022-02-18,926073.5125059576
2022-02-21,912960.0635196286
2022-02-22,900328.2130540054
2022-02-23,902830.041472458
2022-02-24,925518.3526507026
2022-02-25,921003.406325001
2022-02-28,904762.6983528843
2022-03-02,920969.4386091919
2022-03-03,918341.9296422458
2022-03-04,913454.399933763
2022-03-07,891785.1202297916
2022-03-08,886765.0102805415
2022-03-09,904526.3042806752
2022-03-10,901477.9140850318
2022-03-11,895231.1449986253
2022-03-14,895259.5929606155
2022-03-15,911539.6822532484
2022-03-16,925636.6027613629
2022-03-17,936986.1719551923
2022-03-21,944436.4596723601
2022-03-22,938948.8690342872
2022-03-23,945863.9529292379
2022-03-24,933663.8109017261
2022-03-25,943159.5920052734
2022-03-28,947325.3077528126
2022-03-29,949897.4068833453
2022-03-30,959090.4507197441
2022-03-31,957313.7268847041
2022-04-01,942355.5124826048
2022-04-04,946157.6675218747
2022-04-05,948973.166566002
2022-04-06,941345.3975337315
2022-04-07,937414.165174387
2022-04-08,939779.9104313795
2022-04-11,943517.7391088357
2022-04-12,932293.6381652764
2022-04-13,929909.9537083723
2022-04-18,939264.1318966405
2022-04-19,936183.6846692022
2022-04-20,935109.2433585154
2022-04-21,948682.9548940578
2022-04-22,955465.3523991291
2022-04-25,945464.5138211452
2022-04-26,918796.7785867519
2022-04-27,925265.9300625962
2022-04-28,903274.381654886
2022-04-29,904952.3868158556
2022-05-02,921649.8544164931
2022-05-04,896128.4234415453
2022-05-05,898418.908978198
2022-05-06,900247.433579847
2022-05-09,925581.0867758375
2022-05-10,896692.4998222003
2022-05-11,894013.1900886451
2022-05-12,876250.197702721
2022-05-13,873941.5075933768
2022-05-16,865065.5842287896
2022-05-17,862244.6715799553
2022-05-18,874917.6017518849
2022-05-19,875644.7762429796
2022-05-20,887361.462140327
2022-05-23,855716.6073470046
2022-05-24,849277.9737408326
2022-05-25,849516.2784970559
2022-05-26,866319.1521658135
2022-05-27,867633.8089167377
2022-05-30,872842.0150922808
2022-05-31,886888.620921353
2022-06-01,902534.7346431426
2022-06-02,896479.2462563862
2022-06-03,891672.3898729502
2022-06-06,903494.5349129736
2022-06-07,894022.106614045
2022-06-08,894459.1225077515
2022-06-09,901642.8698049298
2022-06-10,894326.4361178722
2022-06-13,876986.3417937714
2022-06-14,853073.069864161
2022-06-15,829267.1677612409
2022-06-16,825139.1349484276
2022-06-17,833391.9099515855
2022-06-20,813243.3754992989
2022-06-21,812202.8488298652
2022-06-22,829634.284464759
2022-06-23,828353.8608024236
2022-06-24,833631.8600190431
2022-06-27,856004.9083349344
2022-06-28,854308.6986012731
2022-06-29,840958.8555427351
2022-06-30,843195.8419269884
2022-07-01,836296.8396224914
2022-07-04,845042.3057285491
2022-07-05,841524.8956819603
2022-07-06,843423.2663992418
2022-07-07,852849.2013871566
2022-07-08,851588.3091614114
2022-07-11,847123.3059928605
2022-07-12,841892.0123854784
2022-07-13,836225.0828228446
2022-07-14,832349.5256726935
2022-07-15,850232.5727041805
