date,ensemble
2022-01-04,1000000.0
2022-01-05,1008050.2772775268
2022-01-06,1016502.8888074494
2022-01-07,1017694.5456372834
2022-01-10,1040813.522443924
2022-01-11,1042572.4279920196
2022-01-12,1040234.7813703156
2022-01-13,1029105.9123670196
2022-01-14,1029266.9056378936
2022-01-17,1044666.2846814728
2022-01-18,1013365.1565991974
2022-01-19,1017288.6049176787
2022-01-20,1016415.7146894074
2022-01-21,1023857.2778302764
2022-01-24,994062.8210431671
2022-01-25,1034394.921232376
2022-01-27,1042429.1973706818
2022-01-28,1024777.8260175324
2022-01-31,1035920.8811933136
2022-02-01,1041356.2308942414
2022-02-02,1042943.7698957062
2022-02-03,1048582.6239606475
2022-02-04,1043594.4336225128
2022-02-07,1030183.6851789092
2022-02-08,1039882.0375348664
2022-02-09,1071939.6322919463
2022-02-10,1062875.6472760772
2022-02-11,1050989.7254315948
2022-02-14,1015110.3547803498
2022-02-15,1047677.7068769074
2022-02-16,1043588.3221875764
2022-02-17,1043729.3760663604
2022-02-18,1044013.8966962432
2022-02-21,1044267.4163495636
2022-02-22,1044168.556806717
2022-02-23,1055428.3730908963
2022-02-24,1001081.8850995636
2022-02-25,1023957.7172681428
2022-02-28,1029808.1624280548
2022-03-02,995067.8678113556
2022-03-03,975647.8878614045
2022-03-04,934407.025922928
2022-03-07,891318.7442914582
2022-03-08,890427.4440036468
2022-03-09,913530.8472996064
2022-03-10,933799.473062546
2022-03-11,927049.7917270968
2022-03-14,949524.9148044892
2022-03-15,960560.9634800263
2022-03-16,969690.4986362763
2022-03-17,999599.6171665498
2022-03-21,998434.5636997528
2022-03-22,1005094.734781296
2022-03-23,993410.7904453584
2022-03-24,978961.4722690888
2022-03-25,957368.1312046356
2022-03-28,963721.8069858856
2022-03-29,961505.62699321
2022-03-30,974123.4150181124
2022-03-31,972809.1495151826
2022-04-01,984731.2392368624
2022-04-04,990344.671121628
2022-04-05,994729.4344883272
2022-04-06,992551.7216587372
2022-04-07,972420.9974388503
2022-04-08,975811.0165199662
2022-04-11,975057.8514656448
2022-04-12,979865.4832710648
2022-04-13,966273.738169136
2022-04-18,980418.6625542068
2022-04-19,961462.9568428422
2022-04-20,982929.7377952958
2022-04-21,1009538.6607231522
2022-04-22,1009542.9216484452
2022-04-25,1004510.4917930984
