date,ensemble,dji
2022-01-04,1000000.0,1000000.0
2022-01-05,1008050.2772775268,989333.0757448218
2022-01-06,1016502.8888074494,984696.0579404313
2022-01-07,1017694.5456372834,984565.3883836782
2022-01-10,1040813.522443924,980141.7302942135
2022-01-11,1042572.4279920196,985118.6375549189
2022-01-12,1040234.7813703156,986159.4295971324
2022-01-13,1029105.9123670196,981357.7745201795
2022-01-14,1029266.9056378936,975873.6868027993
2022-01-17,1044666.2846814728,961108.8760825882
2022-01-18,1013365.1565991974,951874.540241659
2022-01-19,1017288.6049176787,943362.0183616733
2022-01-20,1016415.7146894074,931133.1099248357
2022-01-21,1023857.2778302764,933826.8559376098
2022-01-24,994062.8210431671,932012.4491678441
2022-01-25,1034394.921232376,928489.5724419921
2022-01-27,1042429.1973706818,928290.9674536209
2022-01-28,1024777.8260175324,943635.8830703843
2022-01-31,1035920.8811933136,954679.2120763722
2022-02-01,1041356.2308942414,962108.0576729355
2022-02-02,1042943.7698957062,968197.513775501
2022-02-03,1048582.6239606475,954116.7279323958
2022-02-04,1043594.4336225128,953534.6062027173
2022-02-07,1030183.6851789092,953572.3952865548
2022-02-08,1039882.0375348664,963671.7402403853
2022-02-09,1071939.6322919463,971967.3994847522
2022-02-10,1062875.6472760772,957661.0467788521
2022-02-11,1050989.7254315948,943978.0016580492
2022-02-14,1015110.3547803498,939307.1222869613
2022-02-15,1047677.7068769074,950792.774642251
2022-02-16,1043588.3221875764,949309.8715489598
2022-02-17,1043729.3760663604,932401.0610665225
2022-02-18,1044013.8966962432,926073.5125059576
2022-02-21,1044267.4163495636,912960.0635196286
2022-02-22,1044168.556806717,900328.2130540054
2022-02-23,1055428.3730908963,902830.041472458
2022-02-24,1001081.8850995636,925518.3526507026
2022-02-25,1023957.7172681428,921003.406325001
2022-02-28,1029808.1624280548,904762.6983528843
2022-03-02,995067.8678113556,920969.4386091919
2022-03-03,975647.8878614045,918341.9296422458
2022-03-04,934407.025922928,913454.399933763
2022-03-07,891318.7442914582,891785.1202297916
2022-03-08,890427.4440036468,886765.0102805415
2022-03-09,913530.8472996064,904526.3042806752
2022-03-10,933799.473062546,901477.9140850318
2022-03-11,927049.7917270968,895231.1449986253
2022-03-14,949524.9148044892,895259.5929606155
2022-03-15,960560.9634800263,911539.6822532484
2022-03-16,969690.4986362763,925636.6027613629
2022-03-17,999599.6171665498,936986.1719551923
2022-03-21,998434.5636997528,944436.4596723601
2022-03-22,1005094.734781296,938948.8690342872
2022-03-23,993410.7904453584,945863.9529292379
2022-03-24,978961.4722690888,933663.8109017261
2022-03-25,957368.1312046356,943159.5920052734
2022-03-28,963721.8069858856,947325.3077528126
2022-03-29,961505.62699321,949897.4068833453
2022-03-30,974123.4150181124,959090.4507197441
2022-03-31,972809.1495151826,957313.7268847041
2022-04-01,984731.2392368624,942355.5124826048
2022-04-04,990344.671121628,946157.6675218747
2022-04-05,994729.4344883272,948973.166566002
2022-04-06,992551.7216587372,941345.3975337315
2022-04-07,972420.9974388503,937414.165174387
2022-04-08,975811.0165199662,939779.9104313795
2022-04-11,975057.8514656448,943517.7391088357
2022-04-12,979865.4832710648,932293.6381652764
2022-04-13,966273.738169136,929909.9537083723
2022-04-18,980418.6625542068,939264.1318966405
2022-04-19,961462.9568428422,936183.6846692022
2022-04-20,982929.7377952958,935109.2433585154
2022-04-21,1009538.6607231522,948682.9548940578
2022-04-22,1009542.9216484452,955465.3523991291
2022-04-25,1004510.4917930984,945464.5138211452
2022-04-26,1020662.3345207596,918796.7785867519
2022-04-27,1002105.6955589677,925265.9300625962
2022-04-28,1014942.8753227616,903274.381654886
2022-04-29,993259.0895103836,904952.3868158556
2022-05-02,980434.5776771927,921649.8544164931
2022-05-04,947559.7608131792,896128.4234415453
2022-05-05,945605.343439522,898418.908978198
2022-05-06,930163.0135597612,900247.433579847
2022-05-09,930520.2476601028,925581.0867758375
2022-05-10,931636.3681816484,896692.4998222003
2022-05-11,920732.3654198076,894013.1900886451
2022-05-12,898203.7642769242,876250.197702721
2022-05-13,891166.0347313309,873941.5075933768
2022-05-16,907652.6067375564,865065.5842287896
2022-05-17,941200.4040321732,862244.6715799553
2022-05-18,942368.0100349808,874917.6017518849
2022-05-19,920341.96039814,875644.7762429796
2022-05-20,943472.436632576,887361.462140327
2022-05-23,965220.8967461014,855716.6073470046
2022-05-24,955944.9190086748,849277.9737408326
2022-05-25,947157.6288017656,849516.2784970559
2022-05-26,949722.710977974,866319.1521658135
2022-05-27,962622.586771431,867633.8089167377
