account_rewards,date
-1819.6472922973335,2022-07-07
-16611.103728942922,2022-07-08
-3095.6824370650575,2022-07-11
-7466.631629440235,2022-07-12
-11175.60694258113,2022-07-13
4273.236845161417,2022-07-14
6061.59351586923,2022-07-15
-1187.51829898078,2022-07-18
9808.898365539615,2022-07-19
8635.270912353648,2022-07-20
7554.68353019713,2022-07-21
-3818.6834750211565,2022-07-22
-12781.353710220195,2022-07-25
15401.378147575422,2022-07-26
39221.74171894067,2022-07-27
8405.326512603788,2022-07-28
5540.424459259026,2022-07-29
-5276.804495117161,2022-08-01
-422.938246101141,2022-08-02
2942.4789327848703,2022-08-03
-5084.225006362889,2022-08-04
11733.93962490093,2022-08-05
8917.615112029947,2022-08-08
1888.8147276763339,2022-08-10
-7229.107410735916,2022-08-11
13057.316640060395,2022-08-12
-4739.84991618339,2022-08-16
18779.16146548465,2022-08-17
-14616.887445129454,2022-08-18
-20829.192559539806,2022-08-19
6810.711992836092,2022-08-22
9694.206827613758,2022-08-23
-6383.5601834259,2022-08-24
-255.43256103503518,2022-08-25
-4241.284079940524,2022-08-26
19262.74009608454,2022-08-29
-8851.482935836772,2022-08-30
-2511.8638199539855,2022-09-01
-4862.201932800235,2022-09-02
4570.266180832172,2022-09-05
1962.0285516965669,2022-09-06
1996.744370201137,2022-09-07
-5846.269642890897,2022-09-08
259.9168223727029,2022-09-09
8919.611384399468,2022-09-12
-5813.320608764654,2022-09-13
-3075.800998619059,2022-09-14
-28655.683142425492,2022-09-15
7944.96637396235,2022-09-16
15745.758657005383,2022-09-19
-24045.825627517654,2022-09-20
10305.60251358035,2022-09-21
-13909.47832722473,2022-09-22
-19518.743764236337,2022-09-23
-6049.5015533524565,2022-09-26
-4696.24939874257,2022-09-27
-15182.671549240127,2022-09-28
-2009.3037266387837,2022-09-29
-76471.10360936739,2022-09-30
24635.298407165566,2022-10-03
14938.617383346544,2022-10-04
-1748.157423217781,2022-10-06
